Eon,Era,Period,Superepoch,Epoch,Age,End,Start,Aliases
Phanerozoic,,,,,,0,541,
Phanerozoic,Cenozoic,,,,,0,66,
Phanerozoic,Cenozoic,Quaternary,,,,0,2.58,Recent
Phanerozoic,Cenozoic,Quaternary,,Holocene,,0,0.0117,
Phanerozoic,Cenozoic,Quaternary,,Holocene,Meghalayan,0,0.0042,Upper Holocene; Late Holocene
Phanerozoic,Cenozoic,Quaternary,,Holocene,Northgrippian,0.0042,0.0082,Middle Holocene; Mid Holocene
Phanerozoic,Cenozoic,Quaternary,,Holocene,Greenlandian,0.0082,0.0117,Lower Holocene; Early Holocene
Phanerozoic,Cenozoic,Quaternary,,Pleistocene,,0.0117,2.58,
Phanerozoic,Cenozoic,Quaternary,,Pleistocene,Upper Pleistocene,0.0117,0.129,Late Pleistocene
Phanerozoic,Cenozoic,Quaternary,,Pleistocene,Chibanian,0.129,0.774,Middle Pleistocene; Mid Pleistocene
Phanerozoic,Cenozoic,Quaternary,,Pleistocene,Calabrian,0.774,1.8,
Phanerozoic,Cenozoic,Quaternary,,Pleistocene,Gelasian,1.8,2.58,
Phanerozoic,Cenozoic,Neogene,,,,2.58,23.03,
Phanerozoic,Cenozoic,Neogene,,Pliocene,,2.58,5.333,
Phanerozoic,Cenozoic,Neogene,,Pliocene,Piacenzian,2.58,3.6,
Phanerozoic,Cenozoic,Neogene,,Pliocene,Zanclean,3.6,5.333,
Phanerozoic,Cenozoic,Neogene,,Miocene,,5.333,23.03,
Phanerozoic,Cenozoic,Neogene,,Miocene,Messinian,5.333,7.246,
Phanerozoic,Cenozoic,Neogene,,Miocene,Tortonian,7.246,11.63,
Phanerozoic,Cenozoic,Neogene,,Miocene,Serravallian,11.63,13.82,
Phanerozoic,Cenozoic,Neogene,,Miocene,Langhian,13.82,15.97,
Phanerozoic,Cenozoic,Neogene,,Miocene,Burdigalian,15.97,20.44,
Phanerozoic,Cenozoic,Neogene,,Miocene,Aquitanian,20.44,23.03,
Phanerozoic,Cenozoic,Paleogene,,,,23.03,66,
Phanerozoic,Cenozoic,Paleogene,,Oligocene,,23.03,33.9,
Phanerozoic,Cenozoic,Paleogene,,Oligocene,Chattian,23.03,27.82,
Phanerozoic,Cenozoic,Paleogene,,Oligocene,Rupelian,27.82,33.9,
Phanerozoic,Cenozoic,Paleogene,,Eocene,,33.9,56,
Phanerozoic,Cenozoic,Paleogene,,Eocene,Priabonian,33.9,37.71,
Phanerozoic,Cenozoic,Paleogene,,Eocene,Bartonian,37.71,41.2,
Phanerozoic,Cenozoic,Paleogene,,Eocene,Lutetian,41.2,47.8,
Phanerozoic,Cenozoic,Paleogene,,Eocene,Ypresian,47.8,56,
Phanerozoic,Cenozoic,Paleogene,,Paleocene,,56,66,
Phanerozoic,Cenozoic,Paleogene,,Paleocene,Thanetian,56,59.2,
Phanerozoic,Cenozoic,Paleogene,,Paleocene,Selandian,59.2,61.6,
Phanerozoic,Cenozoic,Paleogene,,Paleocene,Danian,61.6,66,
Phanerozoic,Mesozoic,,,,,66,251.902,
Phanerozoic,Mesozoic,Cretaceous,,,,66,145,
Phanerozoic,Mesozoic,Cretaceous,,Upper,,66,100.5,
Phanerozoic,Mesozoic,Cretaceous,,Upper,Maastrichtian,66,72.1,
Phanerozoic,Mesozoic,Cretaceous,,Upper,Campanian,72.1,83.6,
Phanerozoic,Mesozoic,Cretaceous,,Upper,Santonian,83.6,86.3,
Phanerozoic,Mesozoic,Cretaceous,,Upper,Coniacian,86.3,89.8,
Phanerozoic,Mesozoic,Cretaceous,,Upper,Turonian,89.8,93.9,
Phanerozoic,Mesozoic,Cretaceous,,Upper,Cenomanian,93.9,100.5,
Phanerozoic,Mesozoic,Cretaceous,,Lower,,100.5,145,
Phanerozoic,Mesozoic,Cretaceous,,Lower,Albian,100.5,113,
Phanerozoic,Mesozoic,Cretaceous,,Lower,Aptian,113,125,
Phanerozoic,Mesozoic,Cretaceous,,Lower,Barremian,125,129.4,
Phanerozoic,Mesozoic,Cretaceous,,Lower,Hauterivian,129.4,132.6,
Phanerozoic,Mesozoic,Cretaceous,,Lower,Valanginian,132.6,139.8,
Phanerozoic,Mesozoic,Cretaceous,,Lower,Berriasian,139.8,145,
Phanerozoic,Mesozoic,Jurassic,,,,145,201.3,
Phanerozoic,Mesozoic,Jurassic,,Upper,,145,163.5,
Phanerozoic,Mesozoic,Jurassic,,Upper,Tithonian,145,152.1,
Phanerozoic,Mesozoic,Jurassic,,Upper,Kimmeridgian,152.1,157.3,
Phanerozoic,Mesozoic,Jurassic,,Upper,Oxfordian,157.3,163.5,
Phanerozoic,Mesozoic,Jurassic,,Middle,,163.5,174.1,
Phanerozoic,Mesozoic,Jurassic,,Middle,Callovian,163.5,166.1,
Phanerozoic,Mesozoic,Jurassic,,Middle,Bathonian,166.1,168.3,
Phanerozoic,Mesozoic,Jurassic,,Middle,Bajocian,168.3,170.3,
Phanerozoic,Mesozoic,Jurassic,,Middle,Aalenian,170.3,174.1,
Phanerozoic,Mesozoic,Jurassic,,Lower,,174.1,201.3,
Phanerozoic,Mesozoic,Jurassic,,Lower,Toarcian,174.1,182.7,
Phanerozoic,Mesozoic,Jurassic,,Lower,Pliensbachian,182.7,190.8,
Phanerozoic,Mesozoic,Jurassic,,Lower,Sinemurian,190.8,199.3,
Phanerozoic,Mesozoic,Jurassic,,Lower,Hettangian,199.3,201.3,
Phanerozoic,Mesozoic,Triassic,,,,201.3,251.902,
Phanerozoic,Mesozoic,Triassic,,Upper,,201.3,237,
Phanerozoic,Mesozoic,Triassic,,Upper,Rhaetian,201.3,208.5,
Phanerozoic,Mesozoic,Triassic,,Upper,Norian,208.5,227,
Phanerozoic,Mesozoic,Triassic,,Upper,Carnian,227,237,
Phanerozoic,Mesozoic,Triassic,,Middle,,237,247.2,
Phanerozoic,Mesozoic,Triassic,,Middle,Ladinian,237,242,
Phanerozoic,Mesozoic,Triassic,,Middle,Anisian,242,247.2,
Phanerozoic,Mesozoic,Triassic,,Lower,,247.2,251.902,
Phanerozoic,Mesozoic,Triassic,,Lower,Olenekian,247.2,251.2,
Phanerozoic,Mesozoic,Triassic,,Lower,Induan,251.2,251.902,
Phanerozoic,Paleozoic,,,,,251.902,541,
Phanerozoic,Paleozoic,Permian,,,,251.902,298.9,Permo
Phanerozoic,Paleozoic,Permian,,Lopingian,,251.902,259.1,
Phanerozoic,Paleozoic,Permian,,Lopingian,Changhsingian,251.902,254.14,
Phanerozoic,Paleozoic,Permian,,Lopingian,Wuchiapingian,254.14,259.1,
Phanerozoic,Paleozoic,Permian,,Guadalupian,,259.1,272.95,
Phanerozoic,Paleozoic,Permian,,Guadalupian,Capitanian,259.1,265.1,
Phanerozoic,Paleozoic,Permian,,Guadalupian,Wordian,265.1,268.8,
Phanerozoic,Paleozoic,Permian,,Guadalupian,Roadian,268.8,272.95,
Phanerozoic,Paleozoic,Permian,,Cisuralian,,272.95,298.9,
Phanerozoic,Paleozoic,Permian,,Cisuralian,Kungurian,272.95,283.5,
