Name,RGB
Phanerozoic,154/217/221
Precambrian,247/67/112
,
Cenozoic,242/249/29
Mesozoic,103/197/202
Paleozoic,153/192/141
Proterozoic,247/53/99
Archean,240/4/127
Hadean,174/2/126
,
Quaternary,249/249/127
Neogene,255/230/25
Paleogene,253/154/82
Cretaceous,127/198/78
Jurassic,52/178/201
Triassic,129/43/146
Permian,240/64/40
Carboniferous,103/165/153
Devonian,203/140/55
Silurian,179/225/182
Ordovician,0/146/112
Cambrian,127/160/86
Neo-proterozoic,254/179/66
Meso-proterozoic,253/180/98
Paleo-proterozoic,247/67/112
Neo-archean,249/155/193
Meso-archean,247/104/169
Paleo-archean,244/68/159
Eo-archean,218/3/127
,
Pennsylvanian,153/194/181
Mississippian,103/143/102
,
Holocene,254/242/236
Pleistocene,255/242/174
Pliocene,255/255/153
Miocene,255/255/0
Oligocene,253/192/122
Eocene,253/180/108
Paleocene,253/167/95
Upper Cretaceous,166/216/74
Lower Cretaceous,140/205/87
Upper Jurassic,179/227/238
Middle Jurassic,128/207/216
Lower Jurassic,66/174/208
Upper Triassic,189/140/195
Middle Triassic,177/104/177
Lower Triassic,152/57/153
Lopingian,251/167/148
Guadalupian,251/116/92
Cisuralian,239/88/69
Upper Pennsylvanian,191/208/186
Middle Pennsylvanian,166/199/183
Lower Pennsylvanian,140/190/180
Upper Mississippian,179/190/108
Middle Mississippian,153/180/108
Lower Mississippian,128/171/108
Upper Devonian,241/225/157
Middle Devonian,241/200/104
Lower Devonian,229/172/77
Pridoli,230/245/225
Ludlow,191/230/207
Wenlock,179/225/194
Llandovery,153/215/179
Upper Ordovician,127/202/147
Middle Ordovician,77/180/126
Lower Ordovician,26/157/111
Furongian,179/224/149
Miaolingian,166/207/134
Cambrian Series 2,153/192/120
Terreneuvian,140/176/108
,
Ediacaran,254/217/106
Cryogenian,254/204/92
Tonian,254/191/78
Stenian,254/217/154
Ectasian,253/204/138
Calymmian,253/192/122
Statherian,248/117/167
Orosirian,247/104/152
Rhyacian,247/91/137
Siderian,247/79/124
,
Upper Pleistocene,255/242/211
Middle Pleistocene,255/242/199
Calabrian,255/242/186
Gelasian,255/237/179
Piacenzian,255/255/191
Zanclean,255/255/179
Messinian,255/255/115
Tortonian,255/255/102
Serravallian,255/255/89
Langhian,255/255/77
Burdigalian,255/255/65
Aquitanian,255/255/51
Chattian,254/230/170
Rupelian,254/217/154
Priabonian,253/205/161
Bartonian,253/192/145
Lutetian,252/180/130
Ypresian,252/167/115
Thanetian,253/191/111
Selandian,254/191/101
Danian,253/180/98
Maastrichtian,242/250/140
Campanian,230/244/127
Santonian,217/239/116
Coniacian,204/233/104
Turonian,191/227/93
Cenomanian,179/222/83
Albian,204/234/151
Aptian,191/228/138
Barremian,179/223/127
Hauterivian,166/217/117
Valanginian,153/211/106
Berriasian,140/205/96
Tithonian,217/241/247
Kimmeridgian,204/236/244
Oxfordian,191/231/241
Callovian,191/231/229
Bathonian,179/226/227
Bajocian,166/221/224
Aalenian,154/217/221
Toarcian,153/206/227
Pliensbachian,128/197/221
Sinemurian,103/188/216
Hettangian,78/179/211
Rhaetian,227/185/219
Norian,214/170/211
Carnian,201/155/203
Ladinian,201/131/191
Anisian,188/117/183
Olenekian,176/81/165
Induan,164/70/159
Changhsingian,252/192/178
Wuchiapingian,252/180/162
Capitanian,251/154/133
Wordian,251/141/118
Roadian,251/128/105
Kungurian,227/135/118
Artinskian,227/123/104
Sakmarian,227/111/92
Asselian,227/99/80
Gzhelian,204/212/199
Kasimovian,191/208/197
Moscovian,179/203/185
Bashkirian,153/194/181
Serpukhovian,191/194/107
Visean,166/185/108
Tournaisian,140/176/108
Famennian,242/237/197
Frasnian,242/237/173
Givetian,241/225/133
Eifelian,241/213/118
Emsian,229/208/117
Pragian,229/196/104
Lochkovian,229/183/90
Ludfordian,217/240/223
Gorstian,204/236/221
Homerian,204/235/209
Sheinwoodian,191/230/195
Telychian,191/230/207
Aeronian,179/225/194
Rhuddanian,166/220/181
Hirnantian,166/219/171
Katian,153/214/159
Sandbian,140/208/148
Darriwilian,116/198/156
Dapingian,102/192/146
Floian,65/176/135
Tremadocian,51/169/126
Furongian Stage 10,230/245/201
Jiangshanian,217/240/187
Paibian,204/235/174
Guzhangian,204/223/170
Drumian,191/217/157
Wuliuan,179/212/146
Cambrian Series 2 Stage 4,179/202/142
Cambrian Series 2 Stage 3,166/197/131
Terreneuvian Stage 2,166/186/128
Fortunian,153/181/117
,
Meghalayan,254/242/236
Northgrippian,254/242/236
Greenlandian,254/242/236
