var,value,units,unc_2sigma
ModelName,BCC_McLennan2001,,
Reservoir,BulkContinentalCrust,,
ModelType,Calculation,,
Reference,McLennan (2001),,
Citation,"McLennan, S.M., 2001. Relationships between the trace element composition of sedimentary rocks and upper continental crust. Geochemistry, Geophysics, Geosystems 2.",,
DOI,10.1029/2000GC000109,,
SiO2,,,
Al2O3,,,
FeO,,,
MnO,,,
MgO,,,
CaO,,,
Na2O,,,
Cr2O3,,,
TiO2,,,
NiO,,,
K2O,,,
P2O5,,,
H,,,
Li,,,
Be,,,
B,,,
C,,,
N,,,
O,,,
F,,,
Na,,,
Mg,,,
Al,,,
Si,,,
P,,,
S,,,
Cl,,,
K,,,
Ca,,,
Sc,,,
Ti,,,
V,,,
Cr,,,
Mn,,,
Fe,,,
Co,,,
Ni,,,
Cu,,,
Zn,,,
Ga,,,
Ge,,,
As,,,
Se,,,
Br,,,
Rb,,,
Sr,,,
Y,,,
Zr,,,
Nb,,,
Mo,,,
Ru,,,
Rh,,,
Pd,,,
Ag,,,
Cd,,,
In,,,
Sn,,,
Sb,,,
Te,,,
I,,,
Cs,,,
Ba,,,
La,,,
Ce,,,
Pr,,,
Nd,,,
Sm,,,
Eu,,,
Gd,,,
Tb,,,
Dy,,,
Ho,,,
Er,,,
Tm,,,
Yb,,,
Lu,,,
Hf,,,
Ta,,,
W,,,
Re,,,
Os,,,
Ir,,,
Pt,,,
Au,,,
Hg,,,
Tl,,,
Pb,,,
Bi,,,
Th,,,
U,,,
