var,value,units,unc_2sigma,constraint_var,constraint_value,constraint_comment,,
ModelName,MCC_RG2014,,,,,,,
Reservoir,MidContinentalCrust,,,,,,,
ModelType,Calculation,,,,,,,
Reference,Rudnick & Gao 2014,,,,,,,
SiO2,63.50,%,2,,,,,
Al2O3,15.00,%,1,,,,,
FeO,6.02,%,0.80,,,,,
MnO,0.10,%,,,,,,
MgO,3.59,%,0.1,,,,,
CaO,5.25,%,0.01,,,,,
Na2O,3.39,%,0.1,,,,,
TiO2,0.69,%,0.04,,,,,
K2O,2.30,%,0.3,,,,,
P2O5,0.15,%,0.06,,,,,
Li,12.00,ppm,6,,,,,
Be,2.29,ppm,,,,,,
B,6.02,ppm,0.8,,,,,
F,524.00,ppm,,,,,,
S,20,ppm,,,,,,
Cl,182,ppm,,,,,,
Sc,19.00,ppm,5,,,,,
V,107.00,ppm,16,,,,,
Cr,69.00,ppm,76,,,,,
Co,22.00,ppm,5,,,,,
Ni,33.50,ppm,0.7,,,,,
Cu,26.00,ppm,8,,,,,
Zn,69.50,ppm,0.7,,,,,
Ga,17.50,ppm,0.7,,,,,
Ge,1.13,ppm,,,,,,
As,3.1,ppm,,,,,,
Se,0.064,ppm,,,,,,
Rb,65.00,ppm,4,,,,,
Sr,282.00,ppm,1,,,,,
Y,20.00,ppm,4,,,,,
Zr,149.00,ppm,34,,,,,
Nb,10.00,ppm,2,,,,,
Mo,0.60,ppm,,,,,,
Pd,0.76,ppb,,,,,,
Ag,48,ppb,,,,,,
Cd,0.061,ppm,,,,,,
Sn,1.30,ppm,,,,,,
Sb,0.28,ppm,,,,,,
Cs,2.20,ppm,14,,,,,
Ba,532.00,ppm,183,,,,,
La,24.00,ppm,10,,,,,
Ce,53.00,ppm,11,,,,,
Pr,5.8,ppm,,,,,,
Nd,25.00,ppm,2,,,,,
Sm,4.60,ppm,0.2,,,,,
Eu,1.40,ppm,0.2,,,,,
Gd,4.00,ppm,,,,,,
Tb,0.70,ppm,0.1,,,,,
Dy,3.80,ppm,,,,,,
Ho,0.82,ppm,,,,,,
Er,2.3,ppm,,,,,,
Tm,0.32,ppm,,,,,,
Yb,2.20,ppm,0.09,,,,,
Lu,0.40,ppm,0.06,,,,,
Hf,4.40,ppm,0.6,,,,,
Ta,0.04,ppm,6,,,,,
W,0.60,ppm,,,,,,
Pt,0.85,ppb,,,,,,
Au,0.66,ppb,,,,,,
Hg,0.0079,ppm,,,,,,
Tl,0.27,ppm,,,,,,
Pb,15.20,ppm,0.2,,,,,
Bi,0.17,ppm,,,,,,
Th,6.50,ppm,0.5,,,,,
U,1.30,ppm,0.4,,,,,
