Specimen,A,B,C,D,E
K1,33.5,6.1,41.3,7.1,12
K2,47.6,14.9,16.1,14.8,6.6
K3,52.7,23.9,6,8.7,8.7
K4,44.5,24.2,10.7,11.9,8.7
K5,42.3,47.6,0.6,4.1,5.4
K6,51.8,33.2,1.9,7,6.1
K7,47.9,21.5,10.7,9.5,10.4
K8,51.2,23.6,6.2,13.3,5.7
K9,19.3,2.3,65.8,5.8,6.8
K10,46.1,23.4,10.4,11.5,8.6
K11,30.6,6.7,43,6.3,13.4
K12,49.7,28.1,5.1,8,9.1
K13,49.4,24.3,7.6,8.5,10.2
K14,38.4,9.5,30.6,14.8,6.7
K15,41.6,19,17.3,13.8,8.3
K16,42.3,43.3,1.6,5.9,6.9
K17,45.7,23.9,10.3,11.6,8.5
K18,45.5,20.3,13.6,10.9,9.7
K19,52.1,17.9,10.7,7.9,11.4
K20,46.2,14.3,18.5,12.2,8.8
K21,47.2,30.9,4.6,6.3,11
K22,45.4,33.3,4.6,11.9,5.4
K23,48.6,23.4,8.7,10.7,8.6
K24,31.2,4.5,47,10.2,7.1
K25,44.3,15,19.4,10.5,10.8
